Designator,Mid X,Mid Y,Rotation,Layer
C1,129.625,-114.2,0.0,top
C12,134.9,-119.7,0.0,top
C13,123.5,-114.3,180.0,top
C14,108.8,-135.8,90.0,top
C15,118.175,-135.8,0.0,top
C16,124.4,-138.9,90.0,top
C17,104.7,-135.3,270.0,top
C18,103.3,-115.0,90.0,top
C19,139.8,-110.7,0.0,top
C2,129.6,-112.7,0.0,top
C20,139.8,-112.2,0.0,top
C21,139.8,-113.7,0.0,top
C22,142.7,-142.0,0.0,top
C23,140.1,-148.6,180.0,top
C24,140.1,-147.1,180.0,top
C25,147.6,-125.3,270.0,top
C26,146.1,-125.3,270.0,top
C27,144.6,-125.3,270.0,top
C28,115.625,-142.6,0.0,top
C29,115.625,-144.1,0.0,top
C3,129.6,-111.2,0.0,top
C30,115.625,-145.6,0.0,top
C31,113.35,-112.7,90.0,top
C32,111.85,-112.7,90.0,top
C33,110.35,-112.7,90.0,top
C4,122.825,-110.45,180.0,top
C5,122.825,-111.95,180.0,top
C6,115.5,-116.6,0.0,top
C7,115.5,-118.1,0.0,top
C8,115.5,-119.6,0.0,top
C9,116.2,-122.5,270.0,top
D1,129.5,-115.9,0.0,top
D2,132.9,-115.1,270.0,top
D3,122.8,-116.0,180.0,top
D4,142.1,-125.8,270.0,top
J1,134.98,-103.675,180.0,top
J3,143.65,-116.4,270.0,top
J4,125.09,-148.225,270.0,top
J5,111.4,-130.59,180.0,bottom
J6,138.6,-130.57,180.0,bottom
J7,143.65,-133.5,270.0,top
J8,116.55,-106.45,0.0,top
R1,142.8,-108.9,180.0,top
R10,131.1,-137.8,270.0,top
R11,132.6,-137.8,270.0,top
R12,134.1,-137.8,270.0,top
R13,135.7,-137.8,270.0,top
R14,126.0,-134.725,270.0,top
R15,127.5,-134.725,270.0,top
R17,103.2,-135.3,90.0,top
R18,104.8,-115.0,270.0,top
R19,126.7,-140.8,180.0,top
R2,141.1,-105.8,90.0,top
R20,126.7,-144.7,0.0,top
R21,134.7,-122.8,0.0,top
R3,135.4,-116.5,180.0,top
R4,133.9,-111.4,270.0,top
R6,134.9,-118.2,180.0,top
R7,134.7,-124.3,0.0,top
R8,108.1,-126.5,180.0,top
R9,108.1,-128.0,180.0,top
S1,102.95,-129.83,90.0,top
S2,103.05,-120.13,90.0,top
U1,125.0,-105.0,270.0,top
U2,136.35,-112.0,270.0,top
U3,125.0,-124.95,0.0,top
U4,132.2,-142.7,270.0,top
Y1,122.1,-135.8,180.0,top
